Mes,Meta,Dolares
2025-01-01,663000000,1300000
2025-02-01,668100000,1310000
2025-03-01,894540000,1754000
2025-04-01,731850000,1435000
2025-05-01,602820000,1182000
2025-06-01,559470000,1097000
2025-07-01,588540000,1154000
2025-08-01,647700000,1270000
2025-09-01,647700000,1270000
2025-10-01,619650000,1215000
2025-11-01,645150000,1265000
2025-12-01,675914160,1348000
2026-01-01,624530200,1256600
2026-02-01,645810000,1359600
2026-03-01,731712000,1524400
2026-04-01,638804160,1330842
2026-05-01,574923360,1197757
2026-06-01,585447840,1219683
2026-07-01,599096640,1248118
2026-08-01,564197760,1175412
2026-09-01,523482240,1090588
2026-10-01,548202240,1142088
2026-11-01,786677760,1638912
2026-12-01,770197440,1604578
